ID,XENLA_XenBase_GeneNames,XENLA_GenBank_Description,HUMAN_UniProt_GeneNames,eggNOG_annotation
ENOG411CZWD,"ankrd28.S, ankrd28.L",NA,ANKRD28,ankyrin repeat domain 28
ENOG411CZWF,"fam212a.S, fam212a.L","Inca B [Xenopus laevis], Incab protein [Xenopus laevis], IncaA [Xenopus laevis], NA",INKA1,"family with sequence similarity 212, member A"
ENOG411CZWG,gp5.L,"glycoprotein V (platelet) precursor [Xenopus laevis], NA",GP5,Glycoprotein V (Platelet)
ENOG411CZWH,"samd7.L, samd7.S",NA,SAMD7,sterile alpha motif domain containing 7
ENOG411CZWI,"strada.L, strada.S",NA,STRADA,Ste20-related kinase adaptor alpha
ENOG411CZWJ,"dhx37.L, dhx37.S","LOC100049114 protein [Xenopus laevis], NA",DHX37,DEAH (Asp-Glu-Ala-His) box polypeptide 37
ENOG411CZWK,"ovol1.L, ovol3.L, ovol3.S",NA,OVOL1,ovo-like 1(Drosophila)
ENOG411CZWN,loc100490855.L,NA,ANO9,anoctamin 9
ENOG411CZWQ,"vrk1.S, vrk1.L","vaccinia related kinase 1 [Xenopus laevis], NA",VRK1,Vaccinia related kinase 1
ENOG411CZWR,wdr61.S,"WD repeat-containing protein 61 [Xenopus laevis], NA",WDR61,WD repeat domain 61
ENOG411CZWT,"ninj2.L, ninj2.S",NA,NINJ2,ninjurin 2
ENOG411CZWU,NA,GINS complex subunit 3 (Psf3 homolog) [Xenopus laevis],GINS3,GINS complex subunit 3 (Psf3 homolog)
ENOG411CZWV,"lsr-like.1.S, lsr-like.1.L","lipolysis stimulated lipoprotein receptor [Xenopus laevis], NA",LSR,Lipolysis stimulated lipoprotein receptor
ENOG411CZWY,loc100497789-like.L,NA,FXN,frataxin
ENOG411CZX2,"ell3.S, ell3.L",NA,NA,Elongation factor RNA polymerase II-like 3
ENOG411CZX5,efcab5.S,NA,EFCAB5,EF-hand calcium binding domain 5
ENOG411CZX6,unnamed.L,"hypothetical protein LOC496297 [Xenopus laevis], NA",NA,NA
ENOG411CZX7,NA,"HscB iron-sulfur cluster co-chaperone homolog [Xenopus laevis], MGC82090 protein [Xenopus laevis]",HSCB,HscB iron-sulfur cluster co-chaperone homolog (E. coli)
ENOG411CZX9,"npdc1.2.L, npdc1.1.L, npdc1.1.S, npdc1.2.S","LOC446973 protein [Xenopus laevis], NA",NPDC1,"neural proliferation, differentiation and control, 1"
ENOG411CZXA,"znf581.L, znf581.S, loc101731441.S, loc101731441.L",NA,ZNF524,Zinc finger protein
ENOG411CZXB,mpp4.L,NA,MPP4,"membrane protein, palmitoylated 4 (MAGUK p55 subfamily member 4)"
ENOG411CZXC,chfr.S,"E3 ubiquitin-protein ligase CHFR [Xenopus laevis], NA",CHFR,"checkpoint with forkhead and ring finger domains, E3 ubiquitin protein ligase"
ENOG411CZXD,loc100158551.S,NA,REXO5,exonuclease
ENOG411CZXG,loc100496446.S,"MGC80266 protein [Xenopus laevis], NA",MRAS,Muscle RAS oncogene homolog
ENOG411CZXH,ptchd2.S,NA,NA,patched domain containing 2
ENOG411CZXI,"nop56.L, nop56.S","XNop56 protein [Xenopus laevis], NA",NOP56,NOP56 ribonucleoprotein homolog (yeast)
ENOG411CZXJ,"macrod1.L, macrod1-like.S, Xelaev18022222m.g","Unknown (protein for MGC:160174) [Xenopus laevis], LOC414543 protein [Xenopus laevis], NA",MACROD1,MACRO domain containing 1
ENOG411CZXK,"tbc1d8.L, tbc1d8.S",NA,TBC1D8,"TBC1 domain family, member 8 (with GRAM domain)"
ENOG411CZXS,plxna4-like.2.S,NA,NA,Sema
ENOG411CZXT,cfap53.L,NA,CFAP53,Coiled-coil domain containing 11
ENOG411CZXW,"fam110a.L, fam110a.S","hypothetical protein LOC734935 [Xenopus laevis], NA",FAM110A,"family with sequence similarity 110, member A"
ENOG411CZXX,None,NA,ZNF391,zinc finger protein 391
ENOG411CZXY,lef1.S,"lymphoid enhancer factor XLEF-1 [Xenopus laevis], lymphoid enhancer factor XLEF-1B [Xenopus laevis], lymphoid enhancer factor 1 [Xenopus laevis], NA",LEF1,lymphoid enhancer-binding factor 1
ENOG411CZXZ,ccdc24.L,NA,CCDC24,coiled-coil domain containing 24
ENOG411CZY1,"wdr37.S, wdr37.L","WD repeat-containing protein 37 [Xenopus laevis], NA",WDR37,WD repeat domain 37
ENOG411CZY2,asic5.S,NA,ASIC5,acid-sensing (proton-gated) ion channel family member 5
ENOG411CZY3,nkiras2.L,"NF-kappa-B inhibitor-interacting Ras-like protein 2 [Xenopus laevis], NA",NKIRAS2,NFKB inhibitor interacting Ras-like 2
ENOG411CZY4,cchcr1.L,NA,CCHCR1,Coiled-coil alpha-helical rod protein 1
ENOG411CZY5,"nudt1.S, nudt1.L",NA,NUDT1,Nudix (Nucleoside diphosphate linked moiety X)-type motif 1
ENOG411CZY6,NA,"uncharacterized protein LOC398959 [Xenopus laevis], chaperonin containing TCP1, subunit 4 (delta) [Xenopus laevis], LOC398959 protein [Xenopus laevis]",CCT4,"chaperonin containing TCP1, subunit 4 (delta)"
ENOG411CZY7,"ebp.S, ebp.L","emopamil binding protein (sterol isomerase) [Xenopus laevis], NA",EBP,emopamil binding protein (sterol isomerase)
ENOG411CZY8,"bcl2l11.L, bcl2l11.S","bcl2-like 11 (apoptosis facilitator) [Xenopus laevis], NA",BCL2L11,Bcl2-like 11 (Apoptosis facilitator)
ENOG411CZY9,"loc100485654.L, loc100485654.S, loc100493025.L, erf.L, erf.S, Xelaev18040520m.g, etv3.S","Ets2 repressor factor [Xenopus laevis], ets variant 3 [Xenopus laevis], ets variant 3-like [Xenopus laevis], NA","ERF, ETV3, ETV3L, LOC390937",ets variant
ENOG411CZYA,"ankar.L, loc105945786.L",NA,ANKAR,Ankyrin and armadillo repeat containing
ENOG411CZYB,"ccnf.L, ccnf.S","cyclin-F [Xenopus laevis], NA",CCNF,cyclin F
ENOG411CZYC,lancl3.S,NA,LANCL3,LanC lantibiotic synthetase component C-like 3 (bacterial)
ENOG411CZYD,ndor1.L,"NADPH-dependent diflavin oxidoreductase 1 [Xenopus laevis], NA",NDOR1,NADPH dependent diflavin oxidoreductase 1
ENOG411CZYE,"tespa1.S, tespa1.L",NA,TESPA1,"thymocyte expressed, positive selection associated 1"
ENOG411CZYF,"pip5k1a.L, pip5k1c.L","phosphatidylinositol-4-phosphate 5-kinase, type I, alpha [Xenopus laevis], Unknown (protein for IMAGE:8462108) [Xenopus laevis], Unknown (protein for MGC:196753) [Xenopus laevis], NA","PIP5K1C, PIP5K1A","phosphatidylinositol-4-phosphate 5-kinase, type I"
ENOG411CZYG,"loc100489056.L, loc100489056.S","VA opsin [Xenopus laevis], NA",NA,Vertebrate ancient long opsin
ENOG411CZYH,"Xelaev18032078m.g, Xelaev18032077m.g, Xelaev18033770m.g, Xelaev18033769m.g","corticotropin-releasing factor a [Xenopus laevis], corticotropin-releasing factor b [Xenopus laevis], NA",CRH,corticotropin releasing hormone
ENOG411CZYK,"smg8.L, smg8.S",NA,"SMG8, NA","smg-8 homolog, nonsense mediated mRNA decay factor (C. elegans)"
ENOG411CZYM,"inpp4b.L, inpp4b-like.1.S",NA,INPP4B,"inositol polyphosphate-4-phosphatase, type II, 105kDa"
ENOG411CZYP,foxo3.S,"forkhead box protein O3 [Xenopus laevis], FoxO3 protein [Xenopus laevis], Unknown (protein for MGC:98855) [Xenopus laevis], NA","FOXO3B, FOXO3",Forkhead box O3
ENOG411CZYQ,"Xetrov90006027m.L, Xetrov90020636m.L, Xetrov90020636m.S, Xetrov90006027m.S",NA,NA,Sulfotransferase family
ENOG411CZYR,"ankrd6.L, ankrd6.S",NA,ANKRD6,ankyrin repeat domain 6
ENOG411CZYS,atg14.L,NA,ATG14,autophagy related 14
ENOG411CZYT,"ddx52.L, ddx52.S","LOC446276 protein [Xenopus laevis], similar to ATP-dependent, RNA helicase [Xenopus laevis], NA",DDX52,DEAD (Asp-Glu-Ala-Asp) box polypeptide 52
ENOG411CZYU,"Xelaev18027949m.g, loc100486532.S, ky.L, loc101730654.S, loc100494696.L",NA,KY,Kyphoscoliosis peptidase
ENOG411CZYW,"srf.S, srf.L","RecName: Full=Serum response factor; Short=SRF, NA",SRF,serum response factor (c-fos serum response element-binding transcription factor)
ENOG411CZYX,mpv17.L,"Mpv17 protein [Xenopus laevis], RecName: Full=Protein Mpv17, NA",MPV17,MpV17 mitochondrial inner membrane protein
ENOG411CZZ0,"tgfbr3.S, tgfbr3.L",NA,TGFBR3,"Transforming growth factor, beta receptor III"
ENOG411CZZ1,"rab15.L, rab15.S","RAB15, member RAS onocogene family [Xenopus laevis], NA",RAB15,"RAB15, member RAS oncogene family"
ENOG411CZZ3,magoh.S,"protein mago nashi homolog [Xenopus laevis], NA","MAGOH, MAGOHB",Mago-nashi homolog
ENOG411CZZ5,loc100485159-like.L,NA,NA,Protein of unknown function (DUF1446)
ENOG411CZZ7,"sypl2.S, sypl2.L","synaptophysin-like 2 [Xenopus laevis], NA",SYPL2,Synaptophysin-like 2
ENOG411CZZ8,ndufs3.L,"NADH dehydrogenase (ubiquinone) Fe-S protein 3, 30kDa (NADH-coenzyme Q reductase) [Xenopus laevis], uncharacterized protein LOC495365 [Xenopus laevis], NA",NDUFS3,"NADH dehydrogenase (ubiquinone) Fe-S protein 3, 30kDa (NADH-coenzyme Q reductase)"
ENOG411CZZ9,"nhp2.S, nhp2.L","H/ACA ribonucleoprotein complex subunit 2-like protein [Xenopus laevis], NA",NHP2,NHP2 ribonucleoprotein homolog (yeast)
ENOG411CZZB,eef2kmt.L,"uncharacterized protein LOC735173 [Xenopus laevis], NA","EEF2KMT, FAM86B2, FAM86B1",family with sequence similarity 86
ENOG411CZZC,loc100495280.L,"RecName: Full=UPF0740 protein C1orf192 homolog, NA",CFAP126,chromosome 1 open reading frame 192
ENOG411CZZH,zfpl1.S,"LOC100036939 protein [Xenopus laevis], NA",ZFPL1,Zinc finger protein-like 1
ENOG411CZZI,"rhno1.L, rhno1.S","LOC100127313 protein [Xenopus laevis], NA",RHNO1,RAD9-HUS1-RAD1 interacting nuclear orphan 1
ENOG411CZZJ,pecr.S,"peroxisomal trans-2-enoyl-CoA reductase [Xenopus laevis], NA",PECR,Peroxisomal trans-2-enoyl-CoA reductase
ENOG411CZZM,efcab2.L,NA,EFCAB2,EF-hand calcium binding domain 2
ENOG411CZZP,"nfe2l3.L, nfe2l3.S, nfe2l1.S, nfe2l1.L","nuclear factor (erythroid-derived 2)-like 1 [Xenopus laevis], NA","NFE2L1, NFE2L3",(Nuclear factor (Erythroid-derived 2)-like
ENOG411CZZR,NA,homeobox gene [Xenopus laevis],CDX2,Caudal type homeobox 2
ENOG411CZZS,ogfod1.L,"2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1 [Xenopus laevis], NA",OGFOD1,2-oxoglutarate and iron-dependent oxygenase domain containing 1
ENOG411CZZU,cep97.L,"centrosomal protein of 97 kDa [Xenopus laevis], NA",CEP97,centrosomal protein 97kDa
ENOG411CZZV,"loc100491791.L, loc100491791.S, Xelaev18031785m.g, Xelaev18033547m.g",NA,NA,NA
ENOG411CZZW,"armc8.S, armc8.L","armadillo repeat-containing protein 8 [Xenopus laevis], uncharacterized protein LOC495694 [Xenopus laevis], uncharacterized protein LOC432075 [Xenopus laevis], NA",ARMC8,Armadillo repeat containing 8
ENOG411CZZX,"ppargc1b.L, ppargc1b.S",NA,PPARGC1B,"Peroxisome proliferator-activated receptor gamma, coactivator 1 beta"
ENOG411D000,gps2.L,"G protein pathway suppressor 2 [Xenopus laevis], NA",GPS2,G protein pathway suppressor 2
ENOG411D002,"dlx4.S, dlx4.L",NA,NA,Distal-less homeobox 4
ENOG411D003,"Xetrov90029963m.L, Xelaev18038703m.g, Xelaev18038708m.g, Xelaev18038694m.g","putative transmembrane protein TA-2 [Xenopus laevis], Unknown (protein for MGC:196569) [Xenopus laevis], LOC398207 protein [Xenopus laevis], NA",NA,Telomere recombination
ENOG411D005,rdm1-like.L,NA,RDM1,RAD52 motif 1
ENOG411D006,"zdhhc15.S, zdhhc15.L","palmitoyltransferase ZDHHC15 [Xenopus laevis], NA",ZDHHC15,"Zinc finger, DHHC-type containing 15"
ENOG411D007,"mllt4-like.1.S, mllt4-like.1.L","LOC496308 protein [Xenopus laevis], LOC496335 protein [Xenopus laevis], afadin [Xenopus laevis], NA",AFDN,"myeloid lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)"
ENOG411D008,glmp.S,"LOC779099 protein [Xenopus laevis], RecName: Full=Lysosomal protein NCU-G1-A; Flags: Precursor, RecName: Full=Lysosomal protein NCU-G1-B; Flags: Precursor, LOC446270 protein [Xenopus laevis], NA",GLMP,chromosome 1 open reading frame 85
ENOG411D009,orc2.S,"XORC2 [Xenopus laevis], origin recognition complex subunit 2 [Xenopus laevis], NA",ORC2,"Origin recognition complex, subunit 2"
ENOG411D00A,brap.S,"BRCA1 associated protein [Xenopus laevis], IMP protein [Xenopus laevis], NA",BRAP,BRCA1 associated protein
ENOG411D00C,ccdc61.L,"coiled-coil domain containing 61 [Xenopus laevis], NA",CCDC61,Coiled-coil domain containing 61
ENOG411D00G,"slc6a14.1.L, slc6a14.2.L, slc6a5.L","solute carrier family 6 (amino acid transporter), member 14, gene 2 [Xenopus laevis], glycine transporter 2 [Xenopus laevis], Unknown (protein for MGC:197037) [Xenopus laevis], NA","SLC6A5, SLC6A14",Solute carrier family 6
ENOG411D00I,kank1.S,NA,NA,Inherit from chorNOG: KN motif and ankyrin repeat domains
ENOG411D00J,"cadm4.L, cadm4.S","cell adhesion molecule 4 precursor [Xenopus laevis], NA",CADM4,cell adhesion molecule 4
ENOG411D00M,"cnot4.S, cnot4.L","CCR4-NOT transcription complex, subunit 4 [Xenopus laevis], NA",CNOT4,CCR4-NOT transcription complex subunit 4
ENOG411D00P,"fzd3.S, fzd6.S, fzd6.L","frizzled-3 precursor [Xenopus laevis], Fz3 protein [Xenopus laevis], frizzled family receptor 6 [Xenopus laevis], LOC495007 protein [Xenopus laevis], NA","FZD3, FZD6",frizzled family receptor
ENOG411D00R,nog.S,"RecName: Full=Noggin; Flags: Precursor, noggin 2 precursor [Xenopus laevis], noggin2 [Xenopus laevis], NA",NOG,Inhibitor of bone morphogenetic proteins (BMP) signaling
ENOG411D00V,"hoxc4.S, hoxc4.L",NA,HOXC4,Homeobox C4
ENOG411D00W,"smo.L, smo.S","smoothened [Xenopus laevis], Unknown (protein for MGC:180083) [Xenopus laevis], NA",SMO,"smoothened, frizzled family receptor"
ENOG411D00Z,"Xetrov90030535m.L, Xelaev18019161m.g, Xelaev18019149m.g, Xetrov90030527m.S, Xetrov90030535m.S, Xelaev18019162m.g, Xelaev18019158m.g, Xelaev18019150m.g, Xelaev18019155m.g, loc100496137-like.L",NA,MUC17,"mucin 12, cell surface associated"
ENOG411D010,NA,"early mitotic inhibitor [Xenopus laevis], F-box only protein 5-B [Xenopus laevis]",FBXO5,F-box protein 5
ENOG411D012,"cyb561d2.S, cyb561d2.L","cytochrome b-561 domain containing 2 [Xenopus laevis], NA",CYB561D2,cytochrome b-561 domain containing 2
ENOG411D015,loc100486142.L,NA,NA,NA
ENOG411D016,"pagr1.S, pagr1.L","MGC154407 protein [Xenopus laevis], LOC100158385 protein [Xenopus laevis], NA","PAGR1, NA",PAXIP1 associated glutamate-rich protein 1
ENOG411D018,NA,"GRK7a [Xenopus laevis], GRK7b [Xenopus laevis]",GRK7,G protein-coupled receptor kinase 7
ENOG411D01C,eif5a.S,"hypothetical protein LOC496181 [Xenopus laevis], eukaryotic translation initiation factor 5A [Xenopus laevis], NA","EIF5A2, EIF5A, EIF5AL1",eukaryotic translation initiation factor
ENOG411D01D,"entpd2.S, entpd2.L",NA,ENTPD2,Ectonucleoside triphosphate diphosphohydrolase 2
ENOG411D01G,"pla2g12b.L, pla2g12b.S",NA,PLA2G12B,"Phospholipase A2, group XIIB"
ENOG411D01J,"senp3.L, senp3.S","SUMO1/sentrin/SMT3 specific peptidase 3 [Xenopus laevis], NA",SENP3,Sumo1 sentrin SMT3 specific peptidase 3
ENOG411D01K,"Xelaev18030459m.g, Xelaev18030368m.g, Xelaev18002302m.g, znf180.L, Xelaev18002297m.g, Xelaev18032636m.g","RecName: Full=Oocyte zinc finger protein XlCOF22, NA",ZNF135,Zinc finger protein 135
ENOG411D01N,ankrd60-like.S,NA,ANKRD60,ankyrin repeat domain 60
ENOG411D01P,"nedd9.S, bcar1.S, nedd9.L, bcar1.L","breast cancer anti-estrogen resistance 1 [Xenopus laevis], NA","NEDD9, BCAR1","neural precursor cell expressed, developmentally down-regulated 9"
ENOG411D01R,bpifb6.S,NA,BPIFB6,"BPI fold containing family B, member 6"
ENOG411D01S,"med15.L, med15.S","mediator of RNA polymerase II transcription subunit 15 [Xenopus laevis], ARC105 [Xenopus laevis], LOC398566 protein [Xenopus laevis], NA",MED15,mediator complex subunit 15
ENOG411D01U,"sh3glb2.L, sh3glb2.S","SH3-domain GRB2-like endophilin B2 [Xenopus laevis], MGC84737 protein [Xenopus laevis], NA",SH3GLB2,SH3-domain GRB2-like endophilin B2
ENOG411D01V,NA,"transmembrane protein 50A [Xenopus laevis], LOC443600 protein [Xenopus laevis], Unknown (protein for MGC:130723) [Xenopus laevis]",TMEM50A,transmembrane protein 50A
ENOG411D01Y,"has-rs.S, Xelaev18004160m.g, has1.L","unnamed protein product [Xenopus laevis], hyaluronan synthase-related protein [Xenopus laevis], hyaluronan synthase related sequence protein [Xenopus laevis], NA",HAS1,Hyaluronan synthase 1
ENOG411D020,None,NA,PLIN4,perilipin 4
ENOG411D022,"kiaa0141.L, kiaa0141.S",NA,DELE1,kiaa0141
ENOG411D023,"loc105946534.S, Xetrov90005208m.L",NA,NA,G protein-coupled glucose receptor regulating Gpa2
ENOG411D028,fermt3.L,"fermitin family member 3 [Xenopus laevis], NA",FERMT3,Fermitin family member 3
ENOG411D029,amn.L,"amnionless homolog precursor [Xenopus laevis], MGC81896 protein [Xenopus laevis], NA",AMN,Amnionless homolog (Mouse)
ENOG411D02A,"lurap1l.L, lurap1l.S",NA,LURAP1L,leucine rich adaptor protein 1-like
ENOG411D02D,"ccdc71l.S, ccdc71l.L",NA,CCDC71L,coiled-coil domain containing 71-like
ENOG411D02E,"hoxc13.L, hoxc13.S, hoxd13.L","homeobox D13 [Xenopus laevis], Hoxd13 protein [Xenopus laevis], NA","HOXC13, HOXD13",homeobox
ENOG411D02F,nipal3.L,"NIPA-like domain containing 3 [Xenopus laevis], NA",NIPAL3,NIPA-like domain containing 3
ENOG411D02H,"phf19.L, phf19.S",NA,PHF19,PHD finger protein 19
ENOG411D02I,Xetrov90024305m.S,NA,NA,"Protein kinase C, gamma"
ENOG411D02M,med22.S,"mediator of RNA polymerase II transcription subunit 22 [Xenopus laevis], NA",MED22,Mediator complex subunit 22
ENOG411D02N,NA,ribonuclease P/MRP 38kDa subunit [Xenopus laevis],RPP38,ribonuclease P MRP 38kDa subunit
ENOG411D02P,"alms1.L, alms1.S",NA,ALMS1,Alstrom syndrome 1
ENOG411D02Q,"mtdh.S, mtdh.L","uncharacterized protein LOC446286 [Xenopus laevis], LOC446286 protein [Xenopus laevis], NA",MTDH,metadherin
ENOG411D02R,fancc.L,"Fanconi anemia complementation group C [Xenopus laevis], NA",FANCC,"Fanconi anemia, complementation group C"
ENOG411D02T,pxmp4.L,NA,PXMP4,"Peroxisomal membrane protein 4, 24kDa"
ENOG411D02V,"elfn1.S, elfn2.L, elfn1.L, elfn2.S",NA,"ELFN2, ELFN1",extracellular leucine-rich repeat and fibronectin type III domain containing
ENOG411D02W,None,NA,NA,dystrophia myotonica-protein kinase
ENOG411D02X,fbxl5.S,"F-box/LRR-repeat protein 5 [Xenopus laevis], F-box and leucine-rich repeat protein 5 [Xenopus laevis], F-box leucine-rich repeat protein 5 [Xenopus laevis], NA",FBXL5,F-box and leucine-rich repeat protein 5
ENOG411D02Y,"srcin1.S, Xelaev18043204m.g, srcin1.L",NA,NA,SRC kinase signaling inhibitor 1
ENOG411D02Z,mrpl48.S,"mitochondrial ribosomal protein L48 [Xenopus laevis], NA",MRPL48,Mitochondrial ribosomal protein L48
ENOG411D031,loc100487666.L,NA,MEIKIN,NA
ENOG411D032,prpf8.S,"PRP8 pre-mRNA processing factor 8 homolog [Xenopus laevis], NA",PRPF8,PRP8 pre-mRNA processing factor 8 homolog (S. cerevisiae)
ENOG411D035,None,NA,NA,Olfactory receptor
ENOG411D036,"klhl26.L, klhl26.S",NA,KLHL26,Kelch-like 26 (Drosophila)
ENOG411D037,"loc100490265.S, loc100490265.L",NA,FBXL4,F-box and leucine-rich repeat protein 4
ENOG411D039,unnamed.L,NA,NA,Cytochrome P450
ENOG411D03A,hspb2.L,"small heat shock protein B2 [Xenopus laevis], NA",HSPB2,heat shock
ENOG411D03B,mrpl43.L,"mitochondrial ribosomal protein L43 [Xenopus laevis], NA",MRPL43,Mitochondrial ribosomal protein L43
ENOG411D03C,kansl1l.L,NA,KANSL1L,KAT8 regulatory NSL complex subunit 1-like
ENOG411D03D,"Xetrov90002224m.L, Xetrov90002224m.S",NA,NA,histone-arginine methyltransferase CARM1-like
ENOG411D03E,"pgls.L, pgls.S","6-phosphogluconolactonase [Xenopus laevis], NA",PGLS,6-phosphogluconolactonase
ENOG411D03F,"ankrd12.S, ankrd12.L","ankyrin repeat domain 12 [Xenopus laevis], NA",ANKRD12,ankyrin repeat domain
ENOG411D03H,tha1p.L,"LOC100037219 protein [Xenopus laevis], NA",NA,Beta-eliminating lyase
ENOG411D03I,kng1.S,"kininogen 1 precursor [Xenopus laevis], NA",KNG1,kininogen 1
ENOG411D03J,"sdhc.S, sdhc.L",NA,NA,"Succinate dehydrogenase complex, subunit C, integral membrane protein"
ENOG411D03K,"Xelaev18032694m.g, loc100496443.L, znf329.L, Xelaev18002277m.g, Xelaev18001371m.g, Xelaev18001355m.g, loc100488006.L","RecName: Full=Oocyte zinc finger protein XlCOF7.2, NA","ZNF883, ZNF132, ZKSCAN4, ZKSCAN3",Zinc finger with KRAB and SCAN domains
ENOG411D03N,"Xelaev18021463m.g, Xelaev18021464m.g, Xelaev18017190m.g","protein Shroom1 [Xenopus laevis], Apx protein [Xenopus laevis], NA",NA,Apx/Shroom domain ASD2
ENOG411D03P,rcan1.L,"regulator of calcineurin 1 [Xenopus laevis], Down syndrome critical region gene 1 [Xenopus laevis], MGC68988 protein [Xenopus laevis], NA",RCAN1,Regulator of calcineurin 1
ENOG411D03Q,cpox.L,NA,"CPOX, NA",Coproporphyrinogen oxidase
ENOG411D03S,"Xelaev18034589m.g, uros.S","uroporphyrinogen III synthase [Xenopus laevis], uncharacterized protein LOC496102 [Xenopus laevis], NA",UROS,Uroporphyrinogen III synthase
ENOG411D03V,golga7.S,"golgin A7 [Xenopus laevis], NA",GOLGA7,golgin A7
ENOG411D040,nxt2.L,"nuclear transport factor 2-like export factor 2 [Xenopus laevis], NA",NXT2,Nuclear transport factor 2-like export factor 2
ENOG411D043,"ccser2.L, ccser2.S","LOC100158327 protein [Xenopus laevis], NA",CCSER2,"Family with sequence similarity 190, member B"
ENOG411D044,lrguk.L,NA,LRGUK,leucine-rich repeats and guanylate kinase domain containing
ENOG411D045,"inhbc.2.S, inhbc.2.L, inhbc.1.S","inhibin, beta C, gene 1 [Xenopus laevis], NA",INHBC,"inhibin, beta C"
ENOG411D046,None,NA,CNTF,ciliary neurotrophic factor
ENOG411D047,"fam222b.S, fam222b.L","chromosome 17 open reading frame 63 [Xenopus laevis], NA",FAM222B,"family with sequence similarity 222, member B"
ENOG411D048,"fbxo48.L, Xelaev18026476m.g",NA,FBXO48,F-box protein 48
ENOG411D049,"Xelaev18035757m.g, Xelaev18002547m.g, loc779604.S","RecName: Full=UPF0688 protein C1orf174 homolog, NA",C1orf174,Chromosome 1 open reading frame 174
ENOG411D04B,prickle1.L,"LIM protein prickle [Xenopus laevis], prickle-like protein 1-B [Xenopus laevis], RecName: Full=Prickle-like protein 1-B; AltName: Full=XPk-B; Flags: Precursor, LIM protein prickle b [Xenopus laevis], PRICKLE protein [Xenopus laevis], NA",PRICKLE1,prickle homolog 1 (Drosophila)
ENOG411D04E,lrriq3.S,NA,LRRIQ3,leucine-rich repeats and IQ motif containing 3
ENOG411D04I,rad52.S,"RAD52 homolog [Xenopus laevis], NA",RAD52,RAD52 homolog (S. cerevisiae)
ENOG411D04J,"loc100488729.L, loc100490206.L",NA,SLAMF6,SLAM family member 6
ENOG411D04K,"Xetrov90025030m.L, Xetrov90025030m.S",NA,NA,"Inherit from opiNOG: Meteorin, glial cell differentiation regulator-like"
